date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-15,15,0.0410958904109589,93,0.13508928628873373,-0.23013791852735463,3.3185899054623453,0.012492971829356263
2023-02-15,16,0.043835616438356165,124,0.1399798119193284,-0.33001811135253634,2.6335784680464163,0.012880376943481032
2023-02-15,19,0.052054794520547946,102,0.135454944968639,-0.24725019358172928,2.4523909313911627,0.011512644432289498
2023-02-15,20,0.0547945205479452,73,0.13999770337901188,-0.30157354361472444,2.7491500835694973,0.011590038619026688
2023-02-15,21,0.057534246575342465,79,0.14938335213466264,-0.3432452549854473,1.9710823764383343,0.012418350586837186
2023-02-15,22,0.06027397260273973,71,0.14765136906682333,-0.3691572448764136,2.427280941878328,0.008149109427890081
2023-02-15,23,0.06301369863013699,130,0.152307001855269,-0.3458922534017188,2.121699390786572,0.013773332323149586
2023-02-15,26,0.07123287671232877,96,0.1482027543758004,-0.41699032152562826,2.169879661610629,0.00804864094085615
2023-02-15,27,0.07397260273972603,47,0.1596560833897602,-0.3422862726033585,1.9024624377774537,0.013555676596998252
2023-02-15,28,0.07671232876712329,46,0.16086571751900428,-0.4558825929911112,1.839631977178348,0.008450274699776017
2023-02-15,29,0.07945205479452055,52,0.16253893522547477,-0.37841810477294435,1.7502466184963745,0.015041136998886368
2023-02-15,30,0.0821917808219178,533,0.13898794142957674,-0.2874617623765751,2.7667040465014283,0.02633426060454767
2023-02-15,33,0.09041095890410959,50,0.1571814109300887,-0.4380240898069492,1.8681206912646193,0.008984670574157468
2023-02-15,37,0.10136986301369863,135,0.1710184029883055,-0.6003591178201888,1.7215229971111057,0.00817536635505588
2023-02-15,44,0.12054794520547946,315,0.16359315337820848,-0.48476947841309814,1.7869937769439763,0.015201419785536664
2023-02-15,58,0.1589041095890411,87,0.17136981834906942,-0.6507223705260897,1.5840624529405019,0.004796118405622894
2023-02-15,65,0.1780821917808219,560,0.16477282075192815,-0.5958798741042759,1.8813567304894745,0.009271214493470887
2023-02-15,72,0.19726027397260273,285,0.16743073593070212,-0.6663169307711166,1.7853642389883084,0.005781850358848611
2023-02-15,93,0.2547945205479452,510,0.17228465365113482,-0.6352108782294639,1.522883182388546,0.009465972055478689
2023-02-15,105,0.2876712328767123,158,0.17548031353884627,-0.7217722161425159,1.291578304673522,0.0052218750290179295
2023-02-15,121,0.3315068493150685,469,0.17788442096757318,-0.6860276908857513,1.3304600921779086,0.007451571942812906
